nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
Tight polling method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
510, 255, 1, 75, 0, 0
512, 256, 1, 73, 0, 0
514, 257, 1, 68, 0, 0
516, 258, 1, 71, 0, 0
518, 259, 1, 69, 0, 0
520, 260, 1, 66, 0, 0
522, 261, 1, 77, 0, 0
524, 262, 1, 47, 0, 0
526, 263, 1, 65, 0, 0
528, 264, 1, 93, 0, 0
530, 265, 1, 73, 0, 0
532, 266, 1, 73, 0, 0
534, 267, 1, 80, 0, 0
536, 268, 1, 72, 0, 0
538, 269, 1, 76, 0, 0
540, 270, 1, 80, 0, 0
542, 271, 1, 84, 0, 0
544, 272, 1, 78, 0, 0
546, 273, 1, 75, 0, 0
548, 274, 1, 70, 0, 0
550, 275, 1, 77, 0, 0
552, 276, 1, 74, 0, 0
554, 277, 1, 70, 0, 0
556, 278, 1, 75, 0, 0
558, 279, 1, 72, 0, 0
560, 280, 1, 70, 0, 0
562, 281, 1, 63, 0, 0
564, 282, 1, 89, 0, 0
566, 283, 1, 74, 0, 0
568, 284, 1, 73, 0, 0
570, 285, 1, 67, 0, 0
572, 286, 1, 74, 0, 0
574, 287, 1, 62, 0, 0
576, 288, 1, 72, 0, 0
578, 289, 1, 75, 0, 0
580, 290, 1, 74, 0, 0
582, 291, 1, 73, 0, 0
584, 292, 1, 72, 0, 0
586, 293, 1, 73, 0, 0
588, 294, 1, 72, 0, 0
590, 295, 1, 71, 0, 0
592, 296, 1, 71, 0, 0
594, 297, 1, 70, 0, 0
596, 298, 1, 64, 0, 0
598, 299, 1, 61, 0, 0
600, 300, 1, 53, 0, 0
602, 301, 1, 78, 0, 0
604, 302, 1, 101, 0, 0
606, 303, 1, 70, 0, 0
608, 304, 1, 74, 0, 0
610, 305, 1, 74, 0, 0
612, 306, 1, 70, 0, 0
614, 307, 1, 82, 0, 0
616, 308, 1, 71, 0, 0
618, 309, 3227, 65, 0, 0
620, 310, 3217, 77, 0, 0
622, 311, 1, 72, 0, 0
624, 312, 3196, 78, 0, 0
626, 313, 3186, 78, 0, 0
628, 314, 3176, 77, 0, 0
630, 315, 3166, 77, 0, 0
632, 316, 3156, 65, 0, 0
634, 317, 3146, 73, 0, 0
636, 318, 3136, 75, 0, 0
638, 319, 3127, 69, 0, 0
640, 320, 3117, 73, 0, 0
642, 321, 3107, 74, 0, 0
644, 322, 3097, 68, 0, 0
646, 323, 3088, 77, 0, 0
648, 324, 3078, 74, 0, 0
650, 325, 3069, 74, 0, 0
652, 326, 3060, 65, 0, 0
654, 327, 3050, 64, 0, 0
656, 328, 3041, 66, 0, 0
658, 329, 3032, 108, 0, 0
660, 330, 3023, 84, 0, 0
662, 331, 3014, 81, 0, 0
664, 332, 3005, 72, 0, 0
666, 333, 2996, 70, 0, 0
668, 334, 2987, 78, 0, 0
670, 335, 2978, 74, 0, 0
672, 336, 2969, 73, 0, 0
674, 337, 2960, 80, 0, 0
676, 338, 2951, 74, 0, 0
678, 339, 2943, 78, 0, 0
680, 340, 2934, 65, 0, 0
682, 341, 2925, 77, 0, 0
684, 342, 2917, 71, 0, 0
686, 343, 2908, 72, 0, 0
688, 344, 2900, 71, 0, 0
690, 345, 2892, 72, 0, 0
692, 346, 2883, 66, 0, 0
694, 347, 2875, 93, 0, 0
696, 348, 2867, 68, 0, 0
698, 349, 2859, 77, 0, 0
700, 350, 2851, 76, 0, 0
702, 351, 2842, 75, 0, 0
704, 352, 2834, 70, 0, 0
706, 353, 2826, 81, 0, 0
708, 354, 2818, 79, 0, 0
710, 355, 2810, 70, 0, 0
712, 356, 2803, 82, 0, 0
714, 357, 2795, 72, 0, 0
716, 358, 2787, 74, 0, 0
718, 359, 2779, 79, 0, 0
720, 360, 2772, 71, 0, 0
722, 361, 2764, 80, 0, 0
724, 362, 2756, 74, 0, 0
726, 363, 2749, 73, 0, 0
728, 364, 2741, 68, 0, 0
730, 365, 2734, 57, 0, 0
732, 366, 2726, 63, 0, 0
734, 367, 2719, 81, 0, 0
736, 368, 2712, 77, 0, 0
738, 369, 2704, 73, 0, 0
740, 370, 2697, 65, 0, 0
742, 371, 2690, 66, 0, 0
744, 372, 2682, 72, 0, 0
746, 373, 2675, 72, 0, 0
748, 374, 2668, 72, 0, 0
750, 375, 2661, 72, 0, 0
752, 376, 2654, 71, 0, 0
754, 377, 2647, 76, 0, 0
756, 378, 2640, 86, 0, 0
758, 379, 2633, 72, 0, 0
760, 380, 2626, 75, 0, 0
762, 381, 2619, 71, 0, 0
764, 382, 2612, 70, 0, 0
766, 383, 2606, 64, 0, 0
768, 384, 2599, 83, 0, 0
770, 385, 2592, 81, 0, 0
772, 386, 2585, 69, 0, 0
774, 387, 2579, 67, 0, 0
776, 388, 2572, 77, 0, 0
778, 389, 2566, 71, 0, 0
780, 390, 2559, 72, 0, 0
782, 391, 2553, 76, 0, 0
784, 392, 2546, 72, 0, 0
786, 393, 2540, 71, 0, 0
788, 394, 2533, 71, 0, 0
790, 395, 2527, 66, 0, 0
792, 396, 2520, 72, 0, 0
794, 397, 2514, 67, 0, 0
796, 398, 2508, 77, 0, 0
798, 399, 2502, 65, 0, 0
800, 400, 2495, 81, 0, 0
802, 401, 2489, 53, 0, 0
804, 402, 2483, 76, 0, 0
806, 403, 2477, 117, 0, 0
808, 404, 2471, 81, 0, 0
810, 405, 2465, 74, 0, 0
812, 406, 2459, 81, 0, 0
814, 407, 2452, 76, 0, 0
816, 408, 2446, 82, 0, 0
818, 409, 2441, 79, 0, 0
820, 410, 2435, 75, 0, 0
822, 411, 2429, 76, 0, 0
824, 412, 2423, 70, 0, 0
826, 413, 4833, 69, 0, 0
828, 414, 2411, 74, 0, 0
830, 415, 4809, 72, 0, 0
832, 416, 4799, 81, 0, 0
834, 417, 4787, 74, 0, 0
836, 418, 4775, 71, 0, 0
838, 419, 4763, 75, 0, 0
840, 420, 4753, 73, 0, 0
842, 421, 4741, 74, 0, 0
844, 422, 4731, 76, 0, 0
846, 423, 4719, 72, 0, 0
848, 424, 4707, 75, 0, 0
850, 425, 4697, 69, 0, 0
852, 426, 4685, 67, 0, 0
854, 427, 4675, 78, 0, 0
856, 428, 4665, 71, 0, 0
858, 429, 4653, 75, 0, 0
860, 430, 4643, 82, 0, 0
862, 431, 4631, 66, 0, 0
864, 432, 4621, 77, 0, 0
866, 433, 4611, 79, 0, 0
868, 434, 4599, 73, 0, 0
870, 435, 4589, 76, 0, 0
872, 436, 4579, 73, 0, 0
874, 437, 4569, 75, 0, 0
876, 438, 4557, 78, 0, 0
878, 439, 4547, 72, 0, 0
880, 440, 4537, 72, 0, 0
882, 441, 4527, 72, 0, 0
884, 442, 4517, 76, 0, 0
886, 443, 4507, 75, 0, 0
888, 444, 4497, 72, 0, 0
890, 445, 4487, 72, 0, 0
892, 446, 4477, 69, 0, 0
894, 447, 4467, 89, 0, 0
896, 448, 4457, 63, 0, 0
898, 449, 4447, 73, 0, 0
900, 450, 4437, 73, 0, 0
902, 451, 4427, 67, 0, 0
904, 452, 4417, 68, 0, 0
906, 453, 4407, 69, 0, 0
908, 454, 4397, 72, 0, 0
910, 455, 4387, 71, 0, 0
912, 456, 4379, 76, 0, 0
914, 457, 4369, 73, 0, 0
